Neighborhood,Academy,,,,,,
Person,,,,,,,
"",,NIBRS,JUL,AUG,Diff,Change,YTD
"",Drunkeness,90E,0,0,0,,0
"","Family Offenses, Nonviolent",90F,0,0,0,,2
"",Liquor Law Violations,90G,0,0,0,,4
"",Peeping Tom,90H,0,0,0,,0
"",Trespass of Real Property,90J,0,2,2,Infinity,8
"",,Total,,,,,
"",,Society,6,4,-2,-33.3%,54
"",,Crime,,,,,
Unspecified,,,,,,,
"",,NIBRS,JUL,AUG,Diff,Change,YTD
"",Runaway,90I,0,0,0,,0
"",All Other Offenses,90Z,9,7,-2,-22.2%,72
"",,Total,,,,,
"",,Unspecified,9,7,-2,-22.2%,72
"",,Crime,,,,,
Neighborhood,Benton Park West,,,,,,
Person,,,,,,,
"",,NIBRS,JUL,AUG,Diff,Change,YTD
"",Murder and Nonnegligent Manslaughter,09A,0,1,1,Infinity,1
"",Negligent Manslaughter,09B,0,0,0,,0
"",Justifiable Homicide,09C,0,0,0,,0
"",Suicide,09D,0,0,0,,0
"",Kidnapping/Abduction,100,0,1,1,Infinity,1
"",Rape,11A,0,0,0,,1
"",Sodomy,11B,0,0,0,,2
"",Sexual Assault with an Object,11C,0,0,0,,0
"",Fondling,11D,0,0,0,,0
"",Aggravated Assault,13A,6,5,-1,-16.7%,29
"",*Aggravated Assault with Firearm,13A*,6,4,-2,-33.3%,20
"",Simple Assault,13B,3,2,-1,-33.3%,23
"",Intimidation,13C,0,0,0,,8
"",Incest,36A,0,0,0,,0
"",Statutory Rape,36B,0,0,0,,0
"","Human Trafficking, Commercial Sex Acts",64A,0,0,0,,0
"","Human Trafficking, Involuntary Servitude",64B,0,0,0,,0
"",,Total,,,,,
"",,Person,9,9,0,0.0%,65
"",,Crime,,,,,
Property,,,,,,,
"",,NIBRS,JUL,AUG,Diff,Change,YTD
"",Robbery,120,1,1,0,0.0%,5
"",Arson,200,0,0,0,,1
"",Extortion/Blackmail,210,0,0,0,,0
"",Burglary/Breaking and Entering,220,1,5,4,400.0%,17
"",Pocket-picking,23A,0,0,0,,0
"",Purse-snatching,23B,0,1,1,Infinity,3
"",Shoplifting,23C,0,0,0,,0
"",Theft From Building,23D,3,3,0,0.0%,17
"",Theft From Coin-Operated Machine or Device,23E,0,0,0,,0
"",Theft From Motor Vehicle,23F,0,3,3,Infinity,22
"",Theft From Motor Vehicle Parts/Accessories,23G,1,3,2,200.0%,26
"",All Other Larceny,23H,4,1,-3,-75.0%,20
"",Motor Vehicle Theft,240,7,1,-6,-85.7%,25
"",Counterfeiting/Forgery,250,0,0,0,,1
"",False Pretense/Swindle/Confidence Game,26A,0,0,0,,0
"",Credit Card/Automatic Teller Machine Fraud,26B,1,0,-1,-100.0%,3
"",Impersonation,26C,0,0,0,,0
"",Welfare Fraud,26D,0,0,0,,0
"",Wire Fraud,26E,0,0,0,,0
Neighborhood,Benton Park West,,,,,,
Person,,,,,,,
"",,NIBRS,JUL,AUG,Diff,Change,YTD
"",Murder and Nonnegligent Manslaughter,09A,0,1,1,Infinity,1
"",Negligent Manslaughter,09B,0,0,0,,0
"",Justifiable Homicide,09C,0,0,0,,0
"",Suicide,09D,0,0,0,,0
"",Kidnapping/Abduction,100,0,1,1,Infinity,1
"",Rape,11A,0,0,0,,1
"",Sodomy,11B,0,0,0,,2
"",Sexual Assault with an Object,11C,0,0,0,,0
"",Fondling,11D,0,0,0,,0
"",Aggravated Assault,13A,6,5,-1,-16.7%,29
"",*Aggravated Assault with Firearm,13A*,6,4,-2,-33.3%,20
"",Simple Assault,13B,3,2,-1,-33.3%,23
"",Intimidation,13C,0,0,0,,8
"",Incest,36A,0,0,0,,0
"",Statutory Rape,36B,0,0,0,,0
"","Human Trafficking, Commercial Sex Acts",64A,0,0,0,,0
"","Human Trafficking, Involuntary Servitude",64B,0,0,0,,0
"",,Total,,,,,
"",,Person,9,9,0,0.0%,65
"",,Crime,,,,,
Property,,,,,,,
"",,NIBRS,JUL,AUG,Diff,Change,YTD
"",Robbery,120,1,1,0,0.0%,5
"",Arson,200,0,0,0,,1
"",Extortion/Blackmail,210,0,0,0,,0
"",Burglary/Breaking and Entering,220,1,5,4,400.0%,17
"",Pocket-picking,23A,0,0,0,,0
"",Purse-snatching,23B,0,1,1,Infinity,3
"",Shoplifting,23C,0,0,0,,0
"",Theft From Building,23D,3,3,0,0.0%,17
"",Theft From Coin-Operated Machine or Device,23E,0,0,0,,0
"",Theft From Motor Vehicle,23F,0,3,3,Infinity,22
"",Theft From Motor Vehicle Parts/Accessories,23G,1,3,2,200.0%,26
"",All Other Larceny,23H,4,1,-3,-75.0%,20
"",Motor Vehicle Theft,240,7,1,-6,-85.7%,25
"",Counterfeiting/Forgery,250,0,0,0,,1
"",False Pretense/Swindle/Confidence Game,26A,0,0,0,,0
"",Credit Card/Automatic Teller Machine Fraud,26B,1,0,-1,-100.0%,3
